SourceInventory,SourceDrive,FullName,Name,Extension,Length,LastWriteTime,IsDirectory
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\1. AI Workflow Architecture Overview\AI Workflow Architecture Overview.gdoc,AI Workflow Architecture Overview.gdoc,.gdoc,179,17/11/2025 00:15:21,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\5. Workflow Templates\Workflow Templates.gdoc,Workflow Templates.gdoc,.gdoc,179,17/11/2025 00:36:12,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\4. Security + Continuity Rules (OS-06-C)\Security and Continuity Rules (OS-06-C).gdoc,Security and Continuity Rules (OS-06-C).gdoc,.gdoc,179,17/11/2025 00:34:19,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\3. Permissions Map (OS-06-B)\Permissions Map (OS-06-B).gdoc,Permissions Map (OS-06-B).gdoc,.gdoc,179,17/11/2025 00:33:32,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 1 — System Overview & Purpose\1.2 Role in the TSI Ecosystem\TSI — SAI-COM ROLE IN THE ECOSYSTEM.gdoc,TSI — SAI-COM ROLE IN THE ECOSYSTEM.gdoc,.gdoc,179,27/11/2025 22:51:33,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 1 — System Overview & Purpose\1.3 IMS-Driven Design Principles\TSI — SAI-COM IMS-DRIVEN DESIGN PRINCIPLES.gdoc,TSI — SAI-COM IMS-DRIVEN DESIGN PRINCIPLES.gdoc,.gdoc,179,27/11/2025 22:51:11,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 1 — System Overview & Purpose\1.1 SAI-COM Overview (What It Is)\TSI—SAI-COM OVERVIEW v1.0 MASTER.gdoc,TSI—SAI-COM OVERVIEW v1.0 MASTER.gdoc,.gdoc,179,27/11/2025 23:41:03,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 10 — SAI-COM Roadmap (V1 → V2 → V3)\10.5 Predictive Analytics Roadmap\TSI — PREDICTIVE ANALYTICS ROADMAP.gdoc,TSI — PREDICTIVE ANALYTICS ROADMAP.gdoc,.gdoc,179,18/11/2025 02:42:41,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 10 — SAI-COM Roadmap (V1 → V2 → V3)\10.3 Smart Tools Integration Roadmap\TSI — SMART TOOLS INTEGRATION ROADMAP.gdoc,TSI — SMART TOOLS INTEGRATION ROADMAP.gdoc,.gdoc,179,18/11/2025 02:41:06,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 10 — SAI-COM Roadmap (V1 → V2 → V3)\10.2 AI Capability Roadmap\TSI — AI CAPABILITY ROADMAP v1.0 MASTER.gdoc,TSI — AI CAPABILITY ROADMAP v1.0 MASTER.gdoc,.gdoc,179,18/11/2025 02:40:15,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 10 — SAI-COM Roadmap (V1 → V2 → V3)\10.4 IMS Automation Roadmap\TSI — IMS AUTOMATION ROADMAP.gdoc,TSI — IMS AUTOMATION ROADMAP.gdoc,.gdoc,179,18/11/2025 02:41:55,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 10 — SAI-COM Roadmap (V1 → V2 → V3)\10.1 SAI-COM Version Roadmap\TSI — SAI-COM VERSION ROADMAP (V1 → V3).gdoc,TSI — SAI-COM VERSION ROADMAP (V1 → V3).gdoc,.gdoc,179,27/11/2025 22:52:00,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 5 — API Framework\5.3 Device Upload API (Smart Glasses Helmets)\TSI — DEVICE UPLOAD API (SMART TOOLS).gdoc,TSI — DEVICE UPLOAD API (SMART TOOLS).gdoc,.gdoc,179,18/11/2025 02:00:15,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 5 — API Framework\5.4 Vision Processing Pipeline API\TSI — VISION PROCESSING PIPELINE API v1.0 MASTER.gdoc,TSI — VISION PROCESSING PIPELINE API v1.0 MASTER.gdoc,.gdoc,179,18/11/2025 02:01:05,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 5 — API Framework\5.1 REST API Endpoints (External)\TSI — SAI-COM REST API ENDPOINTS (EXTERNAL) v1.0 MASTER.gdoc,TSI — SAI-COM REST API ENDPOINTS (EXTERNAL) v1.0 MASTER.gdoc,.gdoc,179,27/11/2025 22:51:22,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 5 — API Framework\5.5 Export   IMS Integration API\TSI — EXPORT & IMS INTEGRATION API.gdoc,TSI — EXPORT & IMS INTEGRATION API.gdoc,.gdoc,179,18/11/2025 02:02:14,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 5 — API Framework\5.2 Internal API Endpoints (SAI  -  SAI-COM)\TSI - INTERNAL API ENDPOINTS.gdoc,TSI - INTERNAL API ENDPOINTS.gdoc,.gdoc,179,18/11/2025 01:59:23,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 4 — Databases & Storage\4.5 Audit Trail Requirements\TSI — AUDIT TRAIL REQUIREMENTS.gdoc,TSI — AUDIT TRAIL REQUIREMENTS.gdoc,.gdoc,179,18/11/2025 01:55:01,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 4 — Databases & Storage\4.1 Evidence Storage Model (Photo Video)\TSI — EVIDENCE STORAGE MODEL (PHOTO VIDEO).gdoc,TSI — EVIDENCE STORAGE MODEL (PHOTO VIDEO).gdoc,.gdoc,179,18/11/2025 01:50:51,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 4 — Databases & Storage\4.4 Device Telemetry Storage\TSI — DEVICE TELEMETRY STORAGE.gdoc,TSI — DEVICE TELEMETRY STORAGE.gdoc,.gdoc,179,18/11/2025 01:54:04,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 4 — Databases & Storage\4.3 User & Contractor Records\TSI — USER & CONTRACTOR RECORD STORAGE.gdoc,TSI — USER & CONTRACTOR RECORD STORAGE.gdoc,.gdoc,179,18/11/2025 01:53:08,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 4 — Databases & Storage\4.2 Assessment Storage Model\TSI — ASSESSMENT STORAGE MODEL.gdoc,TSI — ASSESSMENT STORAGE MODEL.gdoc,.gdoc,179,18/11/2025 01:52:10,False
